,Topic,Count,Name,Keywords
0,-1,2987,-1_device_user_network_transaction,device user network transaction system information request access method service
1,0,281,0_authentication_signature_key_server,authentication signature key server request login peertopeer peer user network
2,1,174,1_vehicle_vehicles_road_driver,vehicle vehicles road driver sensor vin cargo accident communication traffic
3,2,150,2_transaction_disclosure_target_transactions,transaction disclosure target transactions nonce party dimension measurements operation feature
4,3,131,3_consensus_node_nodes_messages,consensus node nodes messages backup message number shareholder voting leader
5,4,121,4_ledger_blocks_ledgers_block,ledger blocks ledgers block nodes cloud plurality entry entity governance
6,5,120,5_currency_cryptocurrency_mbc_amount,currency cryptocurrency mbc amount account payment merchant wallet customer balance
7,6,119,6_layer_plane_wireless_tracking,layer plane wireless tracking interface network devices converter ai communication
8,7,109,7_payment_fixture_payee_sensor,payment fixture payee sensor sensors credit payer environment device bill
9,8,103,8_file_media_hash_hashes,file media hash hashes files value subsets segments representations storage
10,9,97,9_encryption_ciphertext_key_decryption,encryption ciphertext key decryption plaintext mac piece mc input circuit
11,10,94,10_document_documents_seal_authenticity,document documents seal authenticity signatures trustor edt cvs metadata training
12,11,91,11_patient_health_healthcare_prescription,patient health healthcare prescription mr injury pill medication disease care
13,12,86,12_asset_assets_transfer_container,asset assets transfer container object owner promise ownership contract target
14,13,80,13_contract_contracts_gemstone_bytecode,contract contracts gemstone bytecode smart target invocation indicator enrichment code
15,14,76,14_iot_things_internet_sink,iot things internet sink devices device edge sensor job internetofthings
16,15,72,15_storage_dataset_mediation_operations,storage dataset mediation operations system mediator limit garbage pod objects
17,16,71,16_transactions_transaction_node_manager,transactions transaction node manager leaf endorsement order initiator sdn peers
18,17,66,17_trust_profile_behavior_interactions,trust profile behavior interactions entity actions monitoring action engagement medium
19,18,65,18_event_model_events_callers,event model events callers query inbound dids information representatives apparatus
20,19,64,19_game_gaming_player_ownership,game gaming player ownership players asset users platform articles online
21,20,59,20_power_energy_datacenter_utility,power energy datacenter utility consumption load dc generation electricity grid
22,21,59,21_certificate_certificates_certification_se,certificate certificates certification se ca root key certified activity task
23,22,59,22_identity_verification_bearer_score,identity verification bearer score token identities entity validator iut sharing
24,23,57,23_invention_proctor_computer_event,invention proctor computer event work program product monitors events rotorcraft
25,24,56,24_exchange_item_marketplace_trading,exchange item marketplace trading search merchant custody examples goods customer
26,25,53,25_image_images_damage_segmentation,image images damage segmentation subimages prediction outline patient mark model
27,26,52,26_topics_topic_word_entigen,topics topic word entigen training learning sources keywords insight meaning
28,27,47,27_reality_ar_picture_avr,reality ar picture avr listcell world location view scene interest
29,28,43,28_radio_antenna_frequency_receiver,radio antenna frequency receiver rf nfc rfid satellite signals satellites
31,29,41,29_service_target_reserve_diagnosis,service target reserve diagnosis request institution processing relay mdl asset
30,30,41,30_rewrites_parties_cases_embodiments,rewrites parties cases embodiments streams rules integrity ledger possession rule
32,31,40,31_access_permission_permissions_authorization,access permission permissions authorization control policy scope context didassociated security
33,32,38,32_traffic_slice_network_saas,traffic slice network saas engine interconnect edge patch state microserver
34,33,38,33_image_pixels_packaging_print,image pixels packaging print frame work metadata file images transferor
35,34,37,34_video_frame_feed_speed,video frame feed speed clip frames rate camera stream motion
36,35,36,35_lock_passcode_locking_box,lock passcode locking box key watchdog secret keyholder timer keyholders
37,36,36,36_text_content_id_copyright,text content id copyright similarity ocr computing table attributes retrieval
38,37,35,37_update_revocation_security_vulnerabilities,update revocation security vulnerabilities vulnerability sbom attack lsas software segment
39,38,35,38_voice_speech_audio_speaker,voice speech audio speaker recognition stream output input sound memory
40,39,33,39_resource_resources_pools_pool,resource resources pools pool quantity register hold transfer dependency deficiency
41,40,33,40_header_block_blocks_hash,header block blocks hash track timestamp value subnet subnets flag
42,41,31,41_shards_redundancy_grid_shard,shards redundancy grid shard cluster index commands requests storage bundle
43,42,30,42_timestamp_trust_time_ledger,timestamp trust time ledger timestamps record server point blocks root
44,43,29,43_atm_doi_atms_identity,atm doi atms identity type evaluation account cashier service end
45,44,26,44_conversation_dialer_communication_ptt,conversation dialer communication ptt receiver consultant conference channels waitlist tone
46,45,25,45_consent_subject_capture_age,consent subject capture age subjects point receipt eg embodiments regulating
47,46,25,46_air_facility_space_liquid,air facility space liquid fans inlet cooling aisles fan aisle
48,47,24,47_vat_courier_orders_order,vat courier orders order book delivery liquidity builder customer package
49,48,24,48_memory_reference_processor_signal,memory reference processor signal cells semiconductor cell cnn risk navigation
50,49,24,49_datasets_memory_debug_violations,datasets memory debug violations errors atpg parameters hdl clone btree
51,50,24,50_policy_iteration_state_action,policy iteration state action subtask marketing selection reinforcement reward substates
52,51,24,51_tee_offset_address_bytes,tee offset address bytes km side tees thread attestation quantity
53,52,24,52_risk_permission_user_query,risk permission user query assessment service authority attribute identification answer
54,53,23,53_barcode_display_codes_code,barcode display codes code header page series string booklet transmission
55,54,23,54_hash_value_hashvalue_student,hash value hashvalue student password game values algorithm creation transaction
56,55,23,55_sets_correction_row_vertices,sets correction row vertices coding error bitmap blocks index ecc
63,57,20,57_transport_transports_lane_operation,transport transports lane operation update vacancy example impact portion energy
62,56,20,56_instance_mec_edge_resources,instance mec edge resources orchestration app name workload lessor domain
60,60,20,60_function_instruction_sliding_call,function instruction sliding call contract control address table functions analog
61,58,20,58_message_messaging_server_messages,message messaging server messages packet component shortcut processing recipient rf
59,59,20,59_parties_participants_dispute_subrogation,parties participants dispute subrogation transactions claim cardholder ledger sidechain flows
57,62,20,62_remitter_commitment_remittance_amount,remitter commitment remittance amount assets remitters receivers ciphertext account lsag
58,61,20,61_asic_circuit_circuits_transform,asic circuit circuits transform manufacture stream passphrase isolation wafer cpuid
64,63,19,63_terms_ledger_uid_proofofwork,terms ledger uid proofofwork update identifier authorization calibration subasset end
66,66,19,66_enclave_enclaves_cryptlet_pool,enclave enclaves cryptlet pool hsm approver payload keyshares key approval
67,67,19,67_recommendation_name_feature_phrase,recommendation name feature phrase rating similarity poi ratings label classification
68,64,19,64_attestation_attestations_attest_entity,attestation attestations attest entity centralized owner challenge nonce address key
65,65,19,65_sensor_range_gesture_proximity,sensor range gesture proximity sensors interaction incident transceiver item pallet
69,68,18,68_stablecoin_compute_por_sde,stablecoin compute por sde secure provisioning edgs ledger cryptocurrency disclosure
70,69,17,69_uav_flight_tool_uavs,uav flight tool uavs propulsion livestock motor drones cell task
71,70,17,70_ca_reliability_trust_certificate,ca reliability trust certificate identifiers estimate repair node value peer
72,71,17,71_block_genesis_cast_subsystem,block genesis cast subsystem blocks microsystems algorithm reincarnation microcode activation
76,76,16,76_datasets_dataset_records_science,datasets dataset records science arrangement analysis graph project arrangements flow
79,74,16,74_slave_cluster_master_node,slave cluster master node deployer development nodes computations clusters role
78,72,16,72_relay_result_integrity_node,relay result integrity node component attestation programs handshake system computer
77,73,16,73_quantum_seed_security_sds,quantum seed security sds secret group problems quorums unpredictability qkd
74,78,16,78_affair_evaluation_research_originality,affair evaluation research originality log audit analysis compliance music change
73,75,16,75_transformation_resources_transfer_act,transformation resources transfer act protocols program transfers eft collaboration products
75,77,16,77_battery_temperature_voltage_batteries,battery temperature voltage batteries monitor deterioration combustion voltages optimization circuit
80,79,15,79_contribution_consuming_registration_grant,contribution consuming registration grant comprises apis feature association registrar distribution
81,80,15,80_url_page_link_jump,url page link jump hyperlink web app route websocket locator
82,81,15,81_test_lab_examination_testing,test lab examination testing sut laboratory copy laboratories clearinghouse results
83,82,15,82_commitment_recipient_types_scheme,commitment recipient types scheme factor rt combination transaction amount output
84,83,15,83_subsystem_packet_payload_processing,subsystem packet payload processing nth output hmac timestamp artifacts key
85,84,15,84_distance_items_ensemble_area,distance items ensemble area search map range forms maps location
86,85,15,85_direction_location_transceiver_wireless,direction location transceiver wireless position coordinates transceivers reference orientation interest
91,89,14,89_database_statement_dbms_log,database statement dbms log plan databases modification execution references respect
94,88,14,88_license_vnf_licensing_entitlement,license vnf licensing entitlement licensor licensee operator work token datablock
93,86,14,86_container_dlt_pipeline_containers,container dlt pipeline containers analytics enforcement failover images networks set
92,87,14,87_pdk_reader_digital_efficient,pdk reader digital efficient rdc auto initialization biometric profile personal
90,91,14,91_advertisement_advertising_playing_impressions,advertisement advertising playing impressions advertiser cypher attention consumer advertisements publishers
88,93,14,93_voter_voting_vote_election,voter voting vote election ballot votevalue opinion authentication machine answers
87,90,14,90_invention_sku_stock_assets,invention sku stock assets tokens rights holders asset revenues dividends
89,92,14,92_storage_lamr_tier_ssd,storage lamr tier ssd tiers pool memory drive procedure partitioning
95,94,13,94_computation_nodes_secure_compute,computation nodes secure compute worker computing random parameter mpc node
96,95,13,95_domain_ubcdn_name_dns,domain ubcdn name dns owner instance registrant ca certificate dnssec
97,96,13,96_robots_robot_synchronization_primitives,robots robot synchronization primitives tasks establishment coordinator program trading toy
98,97,13,97_browser_site_payment_api,browser site payment api purchase interface product interaction approach application
99,98,13,98_vendor_breach_risk_territory,vendor breach risk territory questionnaires questionnaire questions training disclosure deficiencies
100,99,13,99_interfaces_repositories_capability_application,interfaces repositories capability application software description asu asus console search
101,100,13,100_mortgage_estate_customer_property,mortgage estate customer property equity appraisal locationaddress investor diligence loan
102,101,13,101_privacy_behaviors_resolution_preference,privacy behaviors resolution preference individuals techniques multiactor expectations sdk allow
106,106,12,106_projection_ue_activation_subsystem,projection ue activation subsystem media enablement sdn search shortrange ftth
109,102,12,102_airspace_flight_graph_reservations,airspace flight graph reservations schedule processors content plan nodes region
108,103,12,103_location_candidate_entity_entities,location candidate entity entities correct popularity occupancy display residency dataset
107,104,12,104_macroblocks_occurrences_array_points,macroblocks occurrences array points values pattern index plurality quantile sizes
105,107,12,107_insurance_consumers_auction_trip,insurance consumers auction trip clauses limitations policy policies affinity bidding
104,108,12,108_hub_appliances_appliance_multicast,hub appliances appliance multicast datagram networks generator hubs checksum livestream
103,105,12,105_fabric_crosslink_relies_provider,fabric crosslink relies provider manner core highperformance transactions chain records
110,109,11,109_ies_footwear_shoe_controller,ies footwear shoe controller apparel foot signal alert features traffic
111,110,11,110_provenance_assessments_accounts_evidence,provenance assessments accounts evidence delivery content oversight reproducibility ledger graph
112,111,11,111_antennas_ledger_base_presence,antennas ledger base presence representation ran station stations directionality nps
113,112,11,112_verification_parameter_signature_execution,verification parameter signature execution environment evaluator unit result object service
114,113,11,113_construction_project_warranty_materials,construction project warranty materials bom manufacturing printing component bim requirements
115,114,11,114_geofence_route_multiplicity_entitlements,geofence route multiplicity entitlements geofences locations services spacenetwork web situation
116,115,11,115_coupon_discount_payer_offer,coupon discount payer offer verification check preimage preagreed paper transaction
117,116,11,116_capacitor_pallet_packages_cover,capacitor pallet packages cover cap side package front packaging shipping
118,117,11,117_invention_control_goods_controls,invention control goods controls remote advance mechanisms food dispenser embodiments
119,118,11,118_view_change_sequence_portions,view change sequence portions entries level number messages nodes protocol
120,119,11,119_securities_offering_trading_tokenized,securities offering trading tokenized market holders purchasing regulations capability meeting
121,120,11,120_fingerprint_shares_signers_mail,fingerprint shares signers mail scanner minutia subscriber minutiae string gallery
122,121,10,121_session_status_group_users,session status group users activities link message emotions cohort dissolution
